# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

583000, 63.0, 37.0, 0.0, 0.0
584000, 71.0, 28.0, 1.0, 0.0
585000, 60.0, 40.0, 0.0, 0.0
586000, 66.0, 31.0, 3.0, 0.0
587000, 60.0, 38.0, 2.0, 0.0
588000, 61.0, 38.0, 1.0, 0.0
589000, 58.0, 42.0, 0.0, 0.0
590000, 69.0, 30.0, 1.0, 0.0
591000, 72.0, 27.0, 1.0, 0.0
592000, 51.0, 46.0, 3.0, 0.0
593000, 65.0, 33.0, 2.0, 0.0
594000, 67.0, 33.0, 0.0, 0.0
595000, 65.0, 34.0, 1.0, 0.0
596000, 59.0, 40.0, 1.0, 0.0
597000, 60.0, 39.0, 1.0, 0.0
598000, 64.0, 33.0, 3.0, 0.0
599000, 59.0, 39.0, 2.0, 0.0
600000, 54.0, 44.0, 2.0, 0.0
601000, 63.0, 36.0, 1.0, 0.0
